rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates,train/learning_rate
2.41,0.47873600000000005,4.41,78,78000,1667,130316,1.518218994140625,20078,0.001
2.86,0.46820400000000006,6.2,78,79000,1697,132949,1.9618405103683472,20737,0.001
2.91,0.457616,6.85,78,80000,1728,135596,1.195164680480957,21398,0.001
2.91,0.44721600000000006,6.41,78,81000,1756,138196,1.7031254768371582,22048,0.001
2.86,0.43609600000000004,6.24,78,82000,1786,140976,1.4163435697555542,22743,0.001
2.93,0.4246319999999999,6.58,79,83000,1815,143842,1.5401400327682495,23460,0.001
2.92,0.41276400000000013,6.78,79,84000,1845,146809,2.160112142562866,24202,0.001
3.18,0.40156800000000015,8.24,79,85000,1875,149608,1.9006403684616089,24901,0.001
2.67,0.389556,5.37,80,86000,1905,152611,2.0565128326416016,25652,0.001
2.93,0.37758,7.87,80,87000,1935,155605,2.4416637420654297,26401,0.001
3.15,0.3646400000000001,7.92,80,88000,1966,158840,2.241013526916504,27209,0.001
3.27,0.35142399999999996,8.39,81,89000,1997,162144,2.2032923698425293,28035,0.001
3.62,0.3376000000000001,9.75,81,90000,2028,165600,1.9362975358963013,28899,0.001
3.13,0.32362,7.51,82,91000,2060,169095,2.0303971767425537,29773,0.001
3.23,0.30945599999999995,8.44,82,92000,2092,172636,2.139346122741699,30658,0.001
3.85,0.29427199999999987,11.55,83,93000,2124,176432,2.0503604412078857,31607,0.001
4.11,0.27859199999999995,12.83,83,94000,2157,180352,1.8201310634613037,32587,0.001
4.23,0.26278,14.25,84,95000,2191,184305,3.432319164276123,33576,0.001
4.03,0.246016,12.59,84,96000,2225,188496,2.342006206512451,34623,0.001
3.43,0.22897999999999996,9.41,85,97000,2258,192755,2.7363781929016113,35688,0.001
4.52,0.21075599999999994,15.79,86,98000,2294,197311,4.360214710235596,36827,0.001
5.29,0.19184,20.72,86,99000,2327,202040,3.35456919670105,38009,0.001
4.74,0.17181599999999997,16.59,87,100000,2364,207046,3.513944149017334,39261,0.001
5.19,0.15123200000000003,20.76,88,101000,2399,212192,4.670498847961426,40547,0.001
5.86,0.12957200000000002,25.76,89,102000,2436,217607,3.846721887588501,41901,0.001
5.65,0.10704000000000002,24.73,90,103000,2474,223240,4.679509162902832,43309,0.001
5.56,0.08407600000000004,23.32,91,104000,2512,228981,3.9038376808166504,44745,0.001
6.3,0.059387999999999996,30.5,92,105000,2550,235153,4.179202556610107,46288,0.001
6.78,0.032884000000000135,32.49,93,106000,2590,241779,3.101271390914917,47944,0.001
7.16,0.0026960000000000317,36.41,94,107000,2634,249326,5.386048793792725,49831,0.001
8.31,0,47.06,96,108000,2678,257295,3.5371780395507812,51823,0.001
8.86,0,52.67,97,109000,2723,265768,6.4332275390625,53941,0.001
9.55,0,56.81,99,110000,2768,274731,5.731677532196045,56182,0.001
9.9,0,62.19,101,111000,2815,284441,5.606590270996094,58610,0.001
12.13,0,102.55,103,112000,2865,295559,6.069326400756836,61389,0.001
7.18,0,42.9,104,113000,2911,304790,5.999660968780518,63697,0.001
9.23,0,62.32,105,114000,2955,313306,9.37104606628418,65826,0.001
11.09,0,73.42,107,115000,3009,324346,11.356658935546875,68586,0.001
11.55,0,104.99,109,116000,3057,335056,7.449578762054443,71263,0.001
11.28,0,85.34,111,117000,3105,345219,8.598834991455078,73804,0.001
11.61,0,91.61,112,118000,3155,356421,11.015607833862305,76605,0.001
13.24,0,124.16,114,119000,3208,368709,8.321956634521484,79677,0.001
12.68,0,103.4,116,120000,3261,381032,14.489751815795898,82757,0.001
12.49,0,103.68,118,121000,3314,393189,17.301904678344727,85797,0.001
12.16,0,90.58,120,122000,3367,405407,10.705559730529785,88851,0.001
12.84,0,97.2,122,123000,3421,418479,11.154651641845703,92119,0.001
13.0,0,127.43,124,124000,3479,431462,12.180801391601562,95365,0.001
10.3,0,81.28,125,125000,3529,442674,10.415908813476562,98168,0.001
10.2,0,78.21,126,126000,3579,453750,9.986788749694824,100937,0.001
12.46,0,105.38,127,127000,3627,464204,13.825824737548828,103550,0.001
10.6,0,93.42,129,128000,3677,475382,14.362476348876953,106345,0.001
11.43,0,103.33,130,129000,3730,486767,15.829998970031738,109191,0.001
14.18,0,143.7,131,130000,3781,498494,13.669403076171875,112123,0.001
