time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
75,0.48550400000000016,5.72,2.75,1707,78000,128624,0.7198911905288696,0.001,19655
75,0.47517200000000015,4.64,2.48,1735,79000,131207,0.7794919013977051,0.001,20301
75,0.4650159999999999,5.35,2.67,1764,80000,133746,0.8337717056274414,0.001,20936
76,0.4547840000000001,3.76,2.32,1793,81000,136304,0.9161670207977295,0.001,21575
76,0.444372,6.6,2.87,1821,82000,138907,1.5563722848892212,0.001,22226
76,0.43345999999999996,5.7,2.78,1848,83000,141635,0.9412612318992615,0.001,22908
76,0.42269200000000007,5.21,2.69,1881,84000,144327,1.0494489669799805,0.001,23581
76,0.4118759999999999,5.0,2.6,1910,85000,147031,1.3833637237548828,0.001,24257
77,0.40079600000000015,4.96,2.64,1940,86000,149801,1.3959509134292603,0.001,24950
77,0.38949999999999996,5.82,2.83,1972,87000,152625,1.2193880081176758,0.001,25656
77,0.378196,5.81,2.75,2002,88000,155451,1.224159836769104,0.001,26362
77,0.36638800000000016,6.58,3.01,2032,89000,158403,1.6302157640457153,0.001,27100
78,0.35392,8.21,3.39,2064,90000,161520,1.211409091949463,0.001,27879
78,0.34139600000000003,7.19,3.11,2095,91000,164651,1.396347165107727,0.001,28662
78,0.32888800000000007,6.8,3.01,2125,92000,167778,1.2525497674942017,0.001,29444
79,0.31642400000000004,7.55,3.13,2156,93000,170894,1.3726907968521118,0.001,30223
79,0.3031839999999999,8.27,3.32,2188,94000,174204,1.838917851448059,0.001,31050
79,0.2892999999999999,9.48,3.62,2221,95000,177675,1.8344438076019287,0.001,31918
80,0.27492000000000005,9.16,3.56,2252,96000,181270,1.0826377868652344,0.001,32817
80,0.26017199999999985,12.55,4.12,2285,97000,184957,1.9064353704452515,0.001,33739
81,0.2449840000000001,10.43,3.84,2318,98000,188754,2.2263638973236084,0.001,34688
81,0.229476,13.49,4.27,2351,99000,192631,1.897189736366272,0.001,35657
82,0.21354799999999985,11.35,4.0,2385,100000,196613,1.2977657318115234,0.001,36653
83,0.197168,15.06,4.59,2418,101000,200708,2.2959604263305664,0.001,37676
83,0.17941600000000002,15.14,4.63,2453,102000,205146,1.6507699489593506,0.001,38786
84,0.16116799999999998,14.86,4.56,2489,103000,209708,2.785968542098999,0.001,39926
84,0.14250000000000007,16.12,4.67,2526,104000,214375,2.5720205307006836,0.001,41093
85,0.12270000000000003,23.45,5.58,2571,105000,219325,2.437882900238037,0.001,42331
86,0.1006800000000001,22.21,5.78,2609,106000,224830,2.6022727489471436,0.001,43707
87,0.07843199999999984,21.75,5.73,2647,107000,230392,3.4389262199401855,0.001,45097
87,0.055520000000000014,23.68,6.09,2687,108000,236120,4.229051113128662,0.001,46529
88,0.03069999999999995,28.89,6.73,2726,109000,242325,2.4520819187164307,0.001,48081
89,0.005939999999999834,33.73,6.85,2766,110000,248515,2.5063509941101074,0.001,49628
90,0,26.32,6.04,2806,111000,254570,4.326377868652344,0.001,51142
91,0,24.15,5.41,2843,112000,260052,2.9717793464660645,0.001,52512
92,0,21.05,5.32,2882,113000,265723,3.102749824523926,0.001,53930
92,0,22.4,5.48,2921,114000,271263,6.483832359313965,0.001,55315
93,0,22.78,5.36,2958,115000,276658,5.669204235076904,0.001,56664
94,0,27.46,6.27,2996,116000,282125,6.204061508178711,0.001,58031
94,0,29.51,6.33,3035,117000,287925,5.952445983886719,0.001,59481
95,0,27.25,5.73,3073,118000,293795,6.514869689941406,0.001,60948
96,0,27.5,5.97,3111,119000,299390,9.657556533813477,0.001,62347
96,0,22.07,5.16,3153,120000,305667,8.921298027038574,0.001,63916
97,0,26.99,5.87,3193,121000,311791,9.973470687866211,0.001,65447
98,0,28.72,6.24,3232,122000,317832,8.776023864746094,0.001,66957
99,0,32.19,6.05,3273,123000,324408,7.121170520782471,0.001,68601
99,0,28.56,6.37,3313,124000,330787,8.059102058410645,0.001,70196
100,0,38.78,7.5,3354,125000,337580,12.544465065002441,0.001,71894
101,0,41.04,8.18,3395,126000,344900,8.216158866882324,0.001,73724
102,0,67.27,10.3,3441,127000,353681,13.43027400970459,0.001,75920
104,0,59.27,10.18,3490,128000,364188,14.766032218933105,0.001,78546
105,0,53.82,9.66,3539,129000,374650,11.180089950561523,0.001,81162
