time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/fps,train/loss,train/n_updates,train/learning_rate
1661,4.75,131440,2.44,78000,0.47424,79,0.987276554107666,20359,0.001
1690,6.1,134033,2.69,79000,0.46386799999999995,79,1.7428834438323975,21008,0.001
1719,6.36,136783,2.9,80000,0.45286800000000005,79,1.462738275527954,21695,0.001
1749,6.05,139552,2.8,81000,0.44179199999999996,79,1.6380189657211304,22387,0.001
1779,6.17,142368,2.82,82000,0.430528,80,1.1645838022232056,23091,0.001
1809,5.8,145264,2.67,83000,0.418944,80,1.5309683084487915,23815,0.001
1839,6.86,148183,2.99,84000,0.40726799999999996,80,1.414595603942871,24545,0.001
1869,7.7,151273,3.24,85000,0.39490800000000004,80,2.0205554962158203,25318,0.001
1899,8.39,154369,3.14,86000,0.3825240000000001,81,2.2285823822021484,26092,0.001
1930,8.47,157593,3.13,87000,0.36962800000000007,81,2.5669891834259033,26898,0.001
1961,8.72,160954,3.36,88000,0.35618399999999983,82,2.3088552951812744,27738,0.001
1992,9.69,164344,3.42,89000,0.34262400000000004,82,1.8090229034423828,28585,0.001
2025,8.59,167836,3.36,90000,0.32865600000000006,82,2.197674512863159,29458,0.001
2056,11.8,171466,3.84,91000,0.31413599999999997,83,1.7252074480056763,30366,0.001
2089,12.91,175104,3.94,92000,0.29958399999999985,83,1.9658299684524536,31275,0.001
2121,11.74,178870,3.74,93000,0.2845200000000001,84,3.5216121673583984,32217,0.001
2156,16.59,182984,4.53,94000,0.26806399999999986,84,4.913044452667236,33245,0.001
2190,13.15,187067,4.06,95000,0.25173200000000007,85,5.229787826538086,34266,0.001
2224,13.56,191474,4.13,96000,0.23410399999999987,86,2.042093515396118,35368,0.001
2258,14.66,196000,4.54,97000,0.21599999999999997,86,4.5030107498168945,36499,0.001
2293,19.78,200868,5.07,98000,0.19652800000000004,87,4.522236347198486,37716,0.001
2329,20.97,205915,5.1,99000,0.17634000000000016,88,4.25233268737793,38978,0.001
2367,25.01,211520,5.68,100000,0.15391999999999983,89,5.8278584480285645,40379,0.001
2406,28.31,217776,6.09,101000,0.12889600000000012,90,5.038052082061768,41943,0.001
2447,45.98,225332,7.83,102000,0.09867200000000009,92,3.953784942626953,43832,0.001
2491,49.13,233701,8.56,103000,0.06519600000000003,93,3.7037391662597656,45925,0.001
2535,41.51,242088,7.74,104000,0.03164800000000012,95,9.601689338684082,48021,0.001
2582,76.27,251569,9.75,105000,0,97,4.260910987854004,50392,0.001
2628,72.49,261001,9.97,106000,0,99,9.965996742248535,52750,0.001
2673,71.31,269739,9.97,107000,0,100,13.878255844116211,54934,0.001
2723,98.27,280504,12.39,108000,0,102,11.990890502929688,57625,0.001
2772,81.14,291162,9.7,109000,0,105,11.959067344665527,60290,0.001
2823,113.16,302329,12.61,110000,0,107,11.021535873413086,63082,0.001
2873,89.14,313238,9.71,111000,0,109,18.170074462890625,65809,0.001
2921,84.46,323180,9.8,112000,0,110,12.392759323120117,68294,0.001
2970,99.57,333943,10.46,113000,0,112,11.712654113769531,70985,0.001
3011,51.11,341106,6.21,114000,0,113,20.35629653930664,72776,0.001
3051,38.18,347499,5.51,115000,0,113,19.348705291748047,74374,0.001
3087,29.41,352583,5.46,116000,0,114,38.61378479003906,75645,0.001
3130,78.9,360478,9.83,117000,0,115,28.37702751159668,77619,0.001
3176,79.02,370450,9.81,118000,0,116,15.310810089111328,80112,0.001
3235,171.32,385309,15.67,119000,0,119,26.030719757080078,83827,0.001
3297,205.46,401545,17.25,120000,0,121,46.34986114501953,87886,0.001
3371,364.54,422396,21.85,121000,0,125,44.896480560302734,93098,0.001
3440,121.03,441530,11.81,122000,0,128,45.410255432128906,97882,0.001
3487,62.78,451716,8.57,123000,0,129,125.11908721923828,100428,0.001
3528,55.1,460159,6.98,124000,0,130,155.57577514648438,102539,0.001
3566,48.73,467693,7.56,125000,0,131,60.65522766113281,104423,0.001
3604,42.84,474641,7.09,126000,0,131,176.41978454589844,106160,0.001
3637,27.49,480019,6.1,127000,0,131,42.14756393432617,107504,0.001
3670,13.71,485335,4.04,128000,0,132,107.35294342041016,108833,0.001
3705,15.13,490517,4.3,129000,0,132,84.07490539550781,110129,0.001
3744,44.6,496730,7.38,130000,0,132,161.03988647460938,111682,0.001
